Library,Operation,Data Size,Mean Time (s),Median Time (s),Std Dev (s),Min Time (s),Max Time (s),Memory Peak (MB),Memory Mean (MB),CPU Utilization (%)
protobuf,create,"5,000,000",0.086992,0.086992,0.000000,0.086992,0.086992,0.00,0.00,0.00
protobuf,filter,"100,000",0.001006,0.001006,0.000000,0.001006,0.001006,0.00,0.00,0.00
protobuf,filter,"500,000",0.001006,0.001006,0.000000,0.001006,0.001006,0.00,0.00,0.00
protobuf,filter,"1,000,000",0.001006,0.001006,0.000000,0.001006,0.001006,0.00,0.00,0.00
protobuf,filter,"5,000,000",0.001006,0.001006,0.000000,0.001006,0.001006,0.00,0.00,0.00
protobuf,join,"100,000",0.005607,0.005607,0.000000,0.005607,0.005607,0.00,0.00,0.00
protobuf,join,"500,000",0.005607,0.005607,0.000000,0.005607,0.005607,0.00,0.00,0.00
protobuf,join,"1,000,000",0.005607,0.005607,0.000000,0.005607,0.005607,0.00,0.00,0.00
protobuf,join,"5,000,000",0.005607,0.005607,0.000000,0.005607,0.005607,0.00,0.00,0.00
protobuf,sort,"100,000",0.013862,0.013862,0.000000,0.013862,0.013862,0.00,0.00,0.00
protobuf,sort,"500,000",0.013862,0.013862,0.000000,0.013862,0.013862,0.00,0.00,0.00
protobuf,sort,"1,000,000",0.013862,0.013862,0.000000,0.013862,0.013862,0.00,0.00,0.00
protobuf,sort,"5,000,000",0.013862,0.013862,0.000000,0.013862,0.013862,0.00,0.00,0.00
psycopg2,aggregate,"100,000",0.001236,0.001236,0.000000,0.001236,0.001236,0.00,0.00,0.00
psycopg2,aggregate,"500,000",0.001236,0.001236,0.000000,0.001236,0.001236,0.00,0.00,0.00
psycopg2,aggregate,"1,000,000",0.001236,0.001236,0.000000,0.001236,0.001236,0.00,0.00,0.00
psycopg2,aggregate,"5,000,000",0.001236,0.001236,0.000000,0.001236,0.001236,0.00,0.00,0.00
psycopg2,create,"100,000",0.056535,0.056535,0.000000,0.056535,0.056535,0.00,0.00,0.00
psycopg2,create,"500,000",0.056535,0.056535,0.000000,0.056535,0.056535,0.00,0.00,0.00
psycopg2,create,"1,000,000",0.056535,0.056535,0.000000,0.056535,0.056535,0.00,0.00,0.00
psycopg2,create,"5,000,000",0.056535,0.056535,0.000000,0.056535,0.056535,0.00,0.00,0.00
psycopg2,filter,"100,000",0.038319,0.038319,0.000000,0.038319,0.038319,0.00,0.00,0.00
psycopg2,filter,"500,000",0.038319,0.038319,0.000000,0.038319,0.038319,0.00,0.00,0.00
psycopg2,filter,"1,000,000",0.038319,0.038319,0.000000,0.038319,0.038319,0.00,0.00,0.00
psycopg2,filter,"5,000,000",0.038319,0.038319,0.000000,0.038319,0.038319,0.00,0.00,0.00
psycopg2,join,"100,000",0.025018,0.025018,0.000000,0.025018,0.025018,0.00,0.00,0.00
psycopg2,join,"500,000",0.025018,0.025018,0.000000,0.025018,0.025018,0.00,0.00,0.00
psycopg2,join,"1,000,000",0.025018,0.025018,0.000000,0.025018,0.025018,0.00,0.00,0.00
psycopg2,join,"5,000,000",0.025018,0.025018,0.000000,0.025018,0.025018,0.00,0.00,0.00
psycopg2,sort,"100,000",0.020090,0.020090,0.000000,0.020090,0.020090,0.00,0.00,0.00
psycopg2,sort,"500,000",0.020090,0.020090,0.000000,0.020090,0.020090,0.00,0.00,0.00
psycopg2,sort,"1,000,000",0.020090,0.020090,0.000000,0.020090,0.020090,0.00,0.00,0.00
psycopg2,sort,"5,000,000",0.020090,0.020090,0.000000,0.020090,0.020090,0.00,0.00,0.00
pyarrow,aggregate,"100,000",0.002779,0.002779,0.000000,0.002779,0.002779,0.00,0.00,0.00
pyarrow,aggregate,"500,000",0.004348,0.004348,0.000000,0.004348,0.004348,0.00,0.00,0.00
pyarrow,aggregate,"1,000,000",0.007951,0.007951,0.000000,0.007951,0.007951,0.00,0.00,0.00
pyarrow,aggregate,"5,000,000",0.040403,0.040403,0.000000,0.040403,0.040403,0.00,0.00,0.00
pyarrow,create,"100,000",0.010469,0.010469,0.000000,0.010469,0.010469,0.00,0.00,0.00
pyarrow,create,"500,000",0.048872,0.048872,0.000000,0.048872,0.048872,0.00,0.00,0.00
pyarrow,create,"1,000,000",0.086768,0.086768,0.000000,0.086768,0.086768,0.00,0.00,0.00
pyarrow,create,"5,000,000",0.467103,0.467103,0.000000,0.467103,0.467103,0.00,0.00,0.00
pyarrow,filter,"100,000",0.002945,0.002945,0.000000,0.002945,0.002945,0.00,0.00,0.00
pyarrow,filter,"500,000",0.010021,0.010021,0.000000,0.010021,0.010021,0.00,0.00,0.00
pyarrow,filter,"1,000,000",0.018194,0.018194,0.000000,0.018194,0.018194,0.00,0.00,0.00
pyarrow,filter,"5,000,000",0.125249,0.125249,0.000000,0.125249,0.125249,0.00,0.00,0.00
pymongo,aggregate,"100,000",0.038046,0.038046,0.000000,0.038046,0.038046,0.00,0.00,0.00
pymongo,aggregate,"500,000",0.038046,0.038046,0.000000,0.038046,0.038046,0.00,0.00,0.00
pymongo,aggregate,"1,000,000",0.038046,0.038046,0.000000,0.038046,0.038046,0.00,0.00,0.00
pymongo,aggregate,"5,000,000",0.038046,0.038046,0.000000,0.038046,0.038046,0.00,0.00,0.00
pymongo,create,"100,000",0.029693,0.029693,0.000000,0.029693,0.029693,0.00,0.00,0.00
pymongo,create,"500,000",0.029693,0.029693,0.000000,0.029693,0.029693,0.00,0.00,0.00
pymongo,create,"1,000,000",0.029693,0.029693,0.000000,0.029693,0.029693,0.00,0.00,0.00
pymongo,create,"5,000,000",0.029693,0.029693,0.000000,0.029693,0.029693,0.00,0.00,0.00
pymongo,filter,"100,000",0.004306,0.004306,0.000000,0.004306,0.004306,0.00,0.00,0.00
pymongo,filter,"500,000",0.004306,0.004306,0.000000,0.004306,0.004306,0.00,0.00,0.00
pymongo,filter,"1,000,000",0.004306,0.004306,0.000000,0.004306,0.004306,0.00,0.00,0.00
pymongo,filter,"5,000,000",0.004306,0.004306,0.000000,0.004306,0.004306,0.00,0.00,0.00
pymongo,join,"100,000",0.044417,0.044417,0.000000,0.044417,0.044417,0.00,0.00,0.00
pymongo,join,"500,000",0.044417,0.044417,0.000000,0.044417,0.044417,0.00,0.00,0.00
pymongo,join,"1,000,000",0.044417,0.044417,0.000000,0.044417,0.044417,0.00,0.00,0.00
pymongo,join,"5,000,000",0.044417,0.044417,0.000000,0.044417,0.044417,0.00,0.00,0.00
pymongo,sort,"100,000",0.001350,0.001350,0.000000,0.001350,0.001350,0.00,0.00,0.00
pymongo,sort,"500,000",0.001350,0.001350,0.000000,0.001350,0.001350,0.00,0.00,0.00
pymongo,sort,"1,000,000",0.001350,0.001350,0.000000,0.001350,0.001350,0.00,0.00,0.00
pymongo,sort,"5,000,000",0.001350,0.001350,0.000000,0.001350,0.001350,0.00,0.00,0.00
redis,aggregate,"100,000",0.007635,0.007635,0.000000,0.007635,0.007635,0.00,0.00,0.00
redis,aggregate,"500,000",0.007635,0.007635,0.000000,0.007635,0.007635,0.00,0.00,0.00
redis,aggregate,"1,000,000",0.007635,0.007635,0.000000,0.007635,0.007635,0.00,0.00,0.00
redis,aggregate,"5,000,000",0.007635,0.007635,0.000000,0.007635,0.007635,0.00,0.00,0.00
redis,create,"100,000",0.071468,0.071468,0.000000,0.071468,0.071468,0.00,0.00,0.00
redis,create,"500,000",0.071468,0.071468,0.000000,0.071468,0.071468,0.00,0.00,0.00
redis,create,"1,000,000",0.071468,0.071468,0.000000,0.071468,0.071468,0.00,0.00,0.00
redis,create,"5,000,000",0.071468,0.071468,0.000000,0.071468,0.071468,0.00,0.00,0.00
redis,filter,"100,000",0.011865,0.011865,0.000000,0.011865,0.011865,0.00,0.00,0.00
redis,filter,"500,000",0.011865,0.011865,0.000000,0.011865,0.011865,0.00,0.00,0.00
redis,filter,"1,000,000",0.011865,0.011865,0.000000,0.011865,0.011865,0.00,0.00,0.00
redis,filter,"5,000,000",0.011865,0.011865,0.000000,0.011865,0.011865,0.00,0.00,0.00
redis,join,"100,000",0.044501,0.044501,0.000000,0.044501,0.044501,0.00,0.00,0.00
redis,join,"500,000",0.044501,0.044501,0.000000,0.044501,0.044501,0.00,0.00,0.00
redis,join,"1,000,000",0.044501,0.044501,0.000000,0.044501,0.044501,0.00,0.00,0.00
redis,join,"5,000,000",0.044501,0.044501,0.000000,0.044501,0.044501,0.00,0.00,0.00
redis,sort,"100,000",0.036597,0.036597,0.000000,0.036597,0.036597,0.00,0.00,0.00
redis,sort,"500,000",0.036597,0.036597,0.000000,0.036597,0.036597,0.00,0.00,0.00
redis,sort,"1,000,000",0.036597,0.036597,0.000000,0.036597,0.036597,0.00,0.00,0.00
redis,sort,"5,000,000",0.036597,0.036597,0.000000,0.036597,0.036597,0.00,0.00,0.00
scipy,aggregate,"100,000",0.000466,0.000466,0.000000,0.000466,0.000466,0.00,0.00,0.00
scipy,aggregate,"500,000",0.000417,0.000417,0.000000,0.000417,0.000417,0.00,0.00,0.00
scipy,aggregate,"1,000,000",0.000398,0.000398,0.000000,0.000398,0.000398,0.00,0.00,0.00
scipy,aggregate,"5,000,000",0.000312,0.000312,0.000000,0.000312,0.000312,0.00,0.00,0.00
scipy,create,"100,000",0.000762,0.000762,0.000000,0.000762,0.000762,0.00,0.00,0.00
scipy,create,"500,000",0.000585,0.000585,0.000000,0.000585,0.000585,0.00,0.00,0.00
scipy,create,"1,000,000",0.000700,0.000700,0.000000,0.000700,0.000700,0.00,0.00,0.00
scipy,create,"5,000,000",0.000521,0.000521,0.000000,0.000521,0.000521,0.00,0.00,0.00
scipy,filter,"100,000",0.000094,0.000094,0.000000,0.000094,0.000094,0.00,0.00,0.00
scipy,filter,"500,000",0.000107,0.000107,0.000000,0.000107,0.000107,0.00,0.00,0.00
scipy,filter,"1,000,000",0.000098,0.000098,0.000000,0.000098,0.000098,0.00,0.00,0.00
scipy,filter,"5,000,000",0.000122,0.000122,0.000000,0.000122,0.000122,0.00,0.00,0.00
sklearn,create,"100,000",0.000017,0.000017,0.000000,0.000017,0.000017,0.00,0.00,0.00
sklearn,create,"500,000",0.000018,0.000018,0.000000,0.000018,0.000018,0.00,0.00,0.00
sklearn,create,"1,000,000",0.000015,0.000015,0.000000,0.000015,0.000015,0.00,0.00,0.00
sklearn,create,"5,000,000",0.000010,0.000010,0.000000,0.000010,0.000010,0.00,0.00,0.00
sklearn,filter,"100,000",0.005285,0.005285,0.000000,0.005285,0.005285,0.00,0.00,0.00
sklearn,filter,"500,000",0.004670,0.004670,0.000000,0.004670,0.004670,0.00,0.00,0.00
sklearn,filter,"1,000,000",0.004240,0.004240,0.000000,0.004240,0.004240,0.00,0.00,0.00
sklearn,filter,"5,000,000",0.004315,0.004315,0.000000,0.004315,0.004315,0.00,0.00,0.00
sqlalchemy,aggregate,"100,000",0.027696,0.027696,0.000000,0.027696,0.027696,0.00,0.00,0.00
sqlalchemy,aggregate,"500,000",0.129817,0.129817,0.000000,0.129817,0.129817,0.00,0.00,0.00
sqlalchemy,aggregate,"1,000,000",0.268073,0.268073,0.000000,0.268073,0.268073,0.00,0.00,0.00
sqlalchemy,aggregate,"5,000,000",1.579806,1.579806,0.000000,1.579806,1.579806,0.00,0.00,0.00
sqlalchemy,create,"100,000",0.293678,0.293678,0.000000,0.293678,0.293678,0.00,0.00,0.00
sqlalchemy,create,"500,000",1.640116,1.640116,0.000000,1.640116,1.640116,0.00,0.00,0.00
sqlalchemy,create,"1,000,000",3.564731,3.564731,0.000000,3.564731,3.564731,0.00,0.00,0.00
sqlalchemy,create,"5,000,000",18.777417,18.777417,0.000000,18.777417,18.777417,0.00,0.00,0.00
sqlalchemy,filter,"100,000",0.132698,0.132698,0.000000,0.132698,0.132698,0.00,0.00,0.00
sqlalchemy,filter,"500,000",0.810716,0.810716,0.000000,0.810716,0.810716,0.00,0.00,0.00
sqlalchemy,filter,"1,000,000",1.891610,1.891610,0.000000,1.891610,1.891610,0.00,0.00,0.00
sqlalchemy,filter,"5,000,000",9.213556,9.213556,0.000000,9.213556,9.213556,0.00,0.00,0.00
sqlite3_std,aggregate,"100,000",0.034367,0.034367,0.000000,0.034367,0.034367,0.00,0.00,0.00
sqlite3_std,aggregate,"500,000",0.172855,0.172855,0.000000,0.172855,0.172855,0.00,0.00,0.00
sqlite3_std,aggregate,"1,000,000",0.408431,0.408431,0.000000,0.408431,0.408431,0.00,0.00,0.00
sqlite3_std,aggregate,"5,000,000",1.880969,1.880969,0.000000,1.880969,1.880969,0.00,0.00,0.00
sqlite3_std,create,"100,000",0.099384,0.099384,0.000000,0.099384,0.099384,0.00,0.00,0.00
sqlite3_std,create,"500,000",0.505448,0.505448,0.000000,0.505448,0.505448,0.00,0.00,0.00
sqlite3_std,create,"1,000,000",1.013573,1.013573,0.000000,1.013573,1.013573,0.00,0.00,0.00
sqlite3_std,create,"5,000,000",5.151212,5.151212,0.000000,5.151212,5.151212,0.00,0.00,0.00
sqlite3_std,filter,"100,000",0.076820,0.076820,0.000000,0.076820,0.076820,0.00,0.00,0.00
sqlite3_std,filter,"500,000",0.394078,0.394078,0.000000,0.394078,0.394078,0.00,0.00,0.00
sqlite3_std,filter,"1,000,000",0.822009,0.822009,0.000000,0.822009,0.822009,0.00,0.00,0.00
sqlite3_std,filter,"5,000,000",4.050404,4.050404,0.000000,4.050404,4.050404,0.00,0.00,0.00
statsmodels,create,"100,000",0.000154,0.000154,0.000000,0.000154,0.000154,0.00,0.00,0.00
statsmodels,create,"500,000",0.000128,0.000128,0.000000,0.000128,0.000128,0.00,0.00,0.00
statsmodels,create,"1,000,000",0.000139,0.000139,0.000000,0.000139,0.000139,0.00,0.00,0.00
statsmodels,create,"5,000,000",0.000132,0.000132,0.000000,0.000132,0.000132,0.00,0.00,0.00
statsmodels,filter,"100,000",0.000306,0.000306,0.000000,0.000306,0.000306,0.00,0.00,0.00
statsmodels,filter,"500,000",0.000172,0.000172,0.000000,0.000172,0.000172,0.00,0.00,0.00
statsmodels,filter,"1,000,000",0.000899,0.000899,0.000000,0.000899,0.000899,0.00,0.00,0.00
statsmodels,filter,"5,000,000",0.000911,0.000911,0.000000,0.000911,0.000911,0.00,0.00,0.00
sympy,aggregate,"100,000",0.012179,0.012179,0.000000,0.012179,0.012179,0.00,0.00,0.00
sympy,aggregate,"500,000",0.000420,0.000420,0.000000,0.000420,0.000420,0.00,0.00,0.00
sympy,aggregate,"1,000,000",0.000419,0.000419,0.000000,0.000419,0.000419,0.00,0.00,0.00
sympy,aggregate,"5,000,000",0.000301,0.000301,0.000000,0.000301,0.000301,0.00,0.00,0.00
sympy,create,"100,000",0.019959,0.019959,0.000000,0.019959,0.019959,0.00,0.00,0.00
sympy,create,"500,000",0.000034,0.000034,0.000000,0.000034,0.000034,0.00,0.00,0.00
sympy,create,"1,000,000",0.000024,0.000024,0.000000,0.000024,0.000024,0.00,0.00,0.00
sympy,create,"5,000,000",0.000029,0.000029,0.000000,0.000029,0.000029,0.00,0.00,0.00
sympy,filter,"100,000",0.006684,0.006684,0.000000,0.006684,0.006684,0.00,0.00,0.00
sympy,filter,"500,000",0.000106,0.000106,0.000000,0.000106,0.000106,0.00,0.00,0.00
sympy,filter,"1,000,000",0.000093,0.000093,0.000000,0.000093,0.000093,0.00,0.00,0.00
sympy,filter,"5,000,000",0.000098,0.000098,0.000000,0.000098,0.000098,0.00,0.00,0.00
tensorflow,aggregate,"100,000",0.000786,0.000786,0.000000,0.000786,0.000786,0.00,0.00,0.00
tensorflow,aggregate,"500,000",0.000324,0.000324,0.000000,0.000324,0.000324,0.00,0.00,0.00
tensorflow,aggregate,"1,000,000",0.000375,0.000375,0.000000,0.000375,0.000375,0.00,0.00,0.00
tensorflow,aggregate,"5,000,000",0.000708,0.000708,0.000000,0.000708,0.000708,0.00,0.00,0.00
tensorflow,create,"100,000",0.010769,0.010769,0.000000,0.010769,0.010769,0.00,0.00,0.00
tensorflow,create,"500,000",0.006336,0.006336,0.000000,0.006336,0.006336,0.00,0.00,0.00
tensorflow,create,"1,000,000",0.012784,0.012784,0.000000,0.012784,0.012784,0.00,0.00,0.00
tensorflow,create,"5,000,000",0.067177,0.067177,0.000000,0.067177,0.067177,0.00,0.00,0.00
tensorflow,filter,"100,000",0.010821,0.010821,0.000000,0.010821,0.010821,0.00,0.00,0.00
tensorflow,filter,"500,000",0.008635,0.008635,0.000000,0.008635,0.008635,0.00,0.00,0.00
tensorflow,filter,"1,000,000",0.013437,0.013437,0.000000,0.013437,0.013437,0.00,0.00,0.00
tensorflow,filter,"5,000,000",0.063353,0.063353,0.000000,0.063353,0.063353,0.00,0.00,0.00
toml,create,"100,000",0.000185,0.000185,0.000000,0.000185,0.000185,0.00,0.00,0.00
toml,create,"500,000",0.000159,0.000159,0.000000,0.000159,0.000159,0.00,0.00,0.00
toml,create,"1,000,000",0.000166,0.000166,0.000000,0.000166,0.000166,0.00,0.00,0.00
toml,create,"5,000,000",0.000169,0.000169,0.000000,0.000169,0.000169,0.00,0.00,0.00
toml,filter,"100,000",0.000511,0.000511,0.000000,0.000511,0.000511,0.00,0.00,0.00
toml,filter,"500,000",0.000481,0.000481,0.000000,0.000481,0.000481,0.00,0.00,0.00
toml,filter,"1,000,000",0.000506,0.000506,0.000000,0.000506,0.000506,0.00,0.00,0.00
toml,filter,"5,000,000",0.000484,0.000484,0.000000,0.000484,0.000484,0.00,0.00,0.00
torch,aggregate,"100,000",0.000194,0.000194,0.000000,0.000194,0.000194,0.00,0.00,0.00
torch,aggregate,"500,000",0.000126,0.000126,0.000000,0.000126,0.000126,0.00,0.00,0.00
torch,aggregate,"1,000,000",0.000171,0.000171,0.000000,0.000171,0.000171,0.00,0.00,0.00
torch,aggregate,"5,000,000",0.000620,0.000620,0.000000,0.000620,0.000620,0.00,0.00,0.00
torch,create,"100,000",0.007818,0.007818,0.000000,0.007818,0.007818,0.00,0.00,0.00
torch,create,"500,000",0.036833,0.036833,0.000000,0.036833,0.036833,0.00,0.00,0.00
torch,create,"1,000,000",0.074368,0.074368,0.000000,0.074368,0.074368,0.00,0.00,0.00
torch,create,"5,000,000",0.370637,0.370637,0.000000,0.370637,0.370637,0.00,0.00,0.00
torch,filter,"100,000",0.002015,0.002015,0.000000,0.002015,0.002015,0.00,0.00,0.00
torch,filter,"500,000",0.011253,0.011253,0.000000,0.011253,0.011253,0.00,0.00,0.00
torch,filter,"1,000,000",0.019807,0.019807,0.000000,0.019807,0.019807,0.00,0.00,0.00
torch,filter,"5,000,000",0.106263,0.106263,0.000000,0.106263,0.106263,0.00,0.00,0.00
ujson,create,"100,000",0.001430,0.001430,0.000000,0.001430,0.001430,0.00,0.00,0.00
ujson,create,"500,000",0.001558,0.001558,0.000000,0.001558,0.001558,0.00,0.00,0.00
ujson,create,"1,000,000",0.001553,0.001553,0.000000,0.001553,0.001553,0.00,0.00,0.00
ujson,create,"5,000,000",0.000981,0.000981,0.000000,0.000981,0.000981,0.00,0.00,0.00
ujson,filter,"100,000",0.000845,0.000845,0.000000,0.000845,0.000845,0.00,0.00,0.00
ujson,filter,"500,000",0.000735,0.000735,0.000000,0.000735,0.000735,0.00,0.00,0.00
ujson,filter,"1,000,000",0.000789,0.000789,0.000000,0.000789,0.000789,0.00,0.00,0.00
ujson,filter,"5,000,000",0.001190,0.001190,0.000000,0.001190,0.001190,0.00,0.00,0.00
xarray,aggregate,"100,000",0.000838,0.000838,0.000000,0.000838,0.000838,0.00,0.00,0.00
xarray,aggregate,"500,000",0.001612,0.001612,0.000000,0.001612,0.001612,0.00,0.00,0.00
xarray,aggregate,"1,000,000",0.003104,0.003104,0.000000,0.003104,0.003104,0.00,0.00,0.00
xarray,aggregate,"5,000,000",0.013014,0.013014,0.000000,0.013014,0.013014,0.00,0.00,0.00
xarray,create,"100,000",0.002756,0.002756,0.000000,0.002756,0.002756,0.00,0.00,0.00
xarray,create,"500,000",0.002785,0.002785,0.000000,0.002785,0.002785,0.00,0.00,0.00
xarray,create,"1,000,000",0.003753,0.003753,0.000000,0.003753,0.003753,0.00,0.00,0.00
xarray,create,"5,000,000",0.012868,0.012868,0.000000,0.012868,0.012868,0.00,0.00,0.00
xarray,filter,"100,000",0.053011,0.053011,0.000000,0.053011,0.053011,0.00,0.00,0.00
xarray,filter,"500,000",0.250680,0.250680,0.000000,0.250680,0.250680,0.00,0.00,0.00
xarray,filter,"1,000,000",0.487920,0.487920,0.000000,0.487920,0.487920,0.00,0.00,0.00
xarray,filter,"5,000,000",2.401169,2.401169,0.000000,2.401169,2.401169,0.00,0.00,0.00
yaml,create,"100,000",0.001839,0.001839,0.000000,0.001839,0.001839,0.00,0.00,0.00
yaml,create,"500,000",0.001887,0.001887,0.000000,0.001887,0.001887,0.00,0.00,0.00
yaml,create,"1,000,000",0.001674,0.001674,0.000000,0.001674,0.001674,0.00,0.00,0.00
yaml,create,"5,000,000",0.001767,0.001767,0.000000,0.001767,0.001767,0.00,0.00,0.00
yaml,filter,"100,000",0.003834,0.003834,0.000000,0.003834,0.003834,0.00,0.00,0.00
yaml,filter,"500,000",0.003586,0.003586,0.000000,0.003586,0.003586,0.00,0.00,0.00
yaml,filter,"1,000,000",0.006259,0.006259,0.000000,0.006259,0.006259,0.00,0.00,0.00
yaml,filter,"5,000,000",0.003609,0.003609,0.000000,0.003609,0.003609,0.00,0.00,0.00
